,Job Title,company,Location,Employment Type,level,requirement,description,Experience Needed,skills
21,Full stack Developer (.Net Core & Angular),BI,Technologies,Full Time,Entry Level (Junior Level / Fresh Grad),"['Bachelor’s degree in Computer Science or Computer Engineering', '1 -3 years of Experience in developing software applications including 2 years in developing business application', 'Expert in Database design (Data modeling, Process Modeling, database design, ERD & DFD) methodology is a must.', 'Expert in .net framework technology and concepts.', 'Expert in programming with C#, ASP.Net MVC and WebAPI preferable .NET Core.', 'Proficient understanding of web markup, including HTML5, CSS3', 'Proficient understanding of client-side scripting and JavaScript frameworks, including Angular2+ and jQuery.', 'Expert in ADO.NET and Entity Framework.', 'Worked of the development of Business applications and (Or) ERP Solutions.', 'Expert in Microsoft SQL server development.', 'Expert in database performance optimization techniques.', 'Expert in object-oriented programming and design techniques.', 'Expert in SOLID Principles and Design Patterns.']","['Document design and technical specifications according to company and quality standards', 'Work with project leaders and business analysts to understand requirement', 'Code application components according to company and quality standards.', 'Meet personal deadlines and contribute towards team objectives.', 'Execute unit tests.', 'Diagnose, analyse and resolve application problems.', 'Prepare set of reports to management on a regular basis.', 'Assist in the QA process as required.', 'Build the front-end of applications through appealing visual design', 'Develop and manage well-functioning databases and applications']",1 To 3 Years,"['ASP.NET', 'Software Development', '.NET', 'Information Technology (IT)', 'Full Stack', 'Computer Science', 'Computer Engineering', 'Database Design', 'Data Modeling', 'Process Modeling', 'ERP', 'DFD', 'C#', 'CSS3', 'javaScript', 'HTML5', 'jQuery', 'Angular', 'ADO.NET', 'Entity Framework', 'SOLID', 'SolidWorks']"
22,Full Stack WordPress Developer,Lawyersorted,"London, United Kingdom",Full Time,Experienced (Non-Manager),"[""Bachelor's degree in Computer Science, Software Engineering, or a related field (or equivalent experience)."", 'Minimum of 5 years of professional experience in custom WordPress development.', 'Expertise in WordPress, HTML, CSS, JavaScript, PHP, and MySQL. Familiarity with front-end frameworks like Bootstrap and version control systems like Git is highly desirable.', '·Extensive knowledge of PHP and experience in developing custom WordPress themes and plugins from scratch.', 'Proficiency in working with WordPress APIs, hooks, and filters to extend functionalities.', 'Experience with MySQL or other relational databases and the ability to write efficient database queries.', 'Solid understanding of web standards, cross-browser compatibility, and performance optimization techniques.', 'Knowledge of SEO best practices and techniques for improving website visibility.', 'Excellent communication and collaboration skills to work effectively within a team.', 'Knowledge of website security best practices, including SSL implementation, data encryption, and vulnerability management.', 'Experience with front-end and backend frameworks like Bootstrap, Php, javascript, React, Vue.js, or Angular, and backend technologies like Laravel and NodeJS.', 'Familiarity with CSS preprocessors like Sass or LESS.', 'Knowledge of server administration and hosting environments.', 'Experience with e-commerce platforms and integrations.', 'Understanding of accessibility standards and best practices.', 'Familiarity with graphic design tools such as Adobe Photoshop or Sketch.']","['Design and develop custom WordPress themes, templates, and plugins to create visually appealing and user-friendly websites.', 'Write efficient, clean, and well-documented code using HTML, CSS, JavaScript, PHP, and other relevant programming languages.', 'Customise and extend existing WordPress functionalities using hooks, filters, and custom post types.', 'Optimise websites for speed, performance, and search engine optimization (SEO) best practices.', 'Test and debug thoroughly to ensure compatibility across different browsers and devices.', 'Integrate third-party APIs, plugins, and tools to enhance website functionality and user experience.', 'Work with the design team to implement responsive and mobile-friendly designs.', 'Troubleshoot and resolve technical issues related to WordPress websites.', 'Collaborate with the analytics team to implement tracking codes, analyse website performance data, and provide insights for continuous improvement.', 'Implement robust security measures to protect websites against potential threats and vulnerabilities, ensuring the safety of user data and compliance with relevant regulations.', ' Assist in managing and updating website content, including profiles, blog posts, legal resources, and user-generated content.']",5 To 7 Years,"['Github', 'WordPress', 'HTML', 'CSS', 'JavaScript', 'PHP', 'MySQL', 'SSL', 'Bootstrap', 'Front-End Development']"
23,Senior Full Stack Developer - (.Net Core & ReactJS),CrossWorkers,"New Cairo, Cairo",Full Time,Experienced (Non-Manager),"['You are fluent in Arabic and English, both written and spoken.', 'Bachelors in Software Engineer or Computer Science.', 'Possess general programming skills and software development fundamentals.', 'A minimum of 3 years of experience in related field/needed technology.', 'You used to work in an international environment.', 'Eager to learn through different resources including self-education.', 'You see challenges and not problems and you attack them with creativity, initiative and determination.', 'You work independently and are targeted with a high activity level.', 'You work well as part of a team and with an ability to deliver even with tough deadlines.', 'Experience with IT Offshore/Nearshore/Outsourcing and European/GCC customers/companies is a plus.', 'You are out-going with a strong personal drive, you enjoy working independently and are motivated by the close collaboration with the management team.', 'You have integrity and empathy as well as excellent communication and facilitation competencies are key to succeed in the job.', 'Very good experience with .Net core', 'Very good experience with  MS SQL & MySQL', 'Very good experience with JavaScript and TypeScript', 'Very good experience with ReactJS ', 'Good experience with MVC & Design Patterns', 'Good experience with Microservices', 'Very good experience with Unit Testing and code review', 'Good experience with Docker is a great plus ', 'Experience with Inter-service communication is a plus', 'Experience Webhooks or KAFKA is a plus', 'You will have a unique opportunity to be part of a growing organization where you will work across borders with highly experienced people, where we expected you to add your footprint.', 'We have built an organization work-life balance, to be integrated in the way we do business and in a company with a strong technical environment.', 'We will set high expectations for you, just as we do for our workplace, the work and ourselves.', 'CrossWorkers is one of the best when it comes to a good working environment, work conditions, professionalism and personal development.', 'We work with a good scheme of benefits range:\nCompetitive salary.\nBus service.\nSocial & Medical insurances.\nGood office environment and Technical equipment.\nKeep up with new technologies through internal and external training.\nWe have an open and free Management style based on Scandinavian values and have a reputation for a strong and inspirational Technical environment.', 'Competitive salary.', 'Bus service.', 'Social & Medical insurances.', 'Good office environment and Technical equipment.', 'Keep up with new technologies through internal and external training.', 'We have an open and free Management style based on Scandinavian values and have a reputation for a strong and inspirational Technical environment.']","['Deliver the assigned tasks within due time frame and minimum percentage of defects/bugs, ensuring the needed quality of delivery is attained.', 'Ensure being up to date with the latest needed technologies aiding the Client’s projects needs and delivery.', 'Document all tasks being implemented for easy reference to the development team and Clients.', 'Effectively Communicates with the Team/Client, for an easy flow of information and connection with the team.', 'Manage time to utilize 25% - 30% for research and learning and 70% - 75% for technical development.', 'Provides information by collecting, analyzing, and summarizing development and service issues.', 'Follow the NDA & Security Data Protection Guidelines ensuring data is confidential and not disclosed to any third parties.']",3 To 5 Years,"['Computer Science', 'Information Technology (IT)']"
24,Full stack developer with Magento,GEx Search,"Kuwait City, Kuwait",Full Time,Not Specified,[],[],Not Specified,"['Information Technology (IT)', 'Computer Science', 'Software Development', 'javaScript', 'CSS', 'HTML', 'Full Stack', 'Software Engineering', 'PHP', 'Angular', 'jQuery', 'SQL', 'MySQL', 'MVC', 'Web Development', 'Computer Engineering', '.NET', 'HTML5', 'Git', 'React']"
25,"Full Stack Developer (.Net , Nodejs)",Pro Dev Tech,"Cairo, Egypt",Full Time,Experienced (Non-Manager),"[""Bachelor's degree in Computer Science, Information Technology, or a related field."", 'A minimum of 2 years of experience as a Backend Developer, with significant expertise in JavaScript and Node.js.', 'Experience with Frontend React.js.', 'Experience with TypeScript.', 'Strong experience with back-end frameworks like Express.js, or Nest.js.', 'Experience with RESTful API development and integration.', 'Knowledge of database technologies such as MongoDB, PostgreSQL, MySQL and Oracle.', 'Familiarity with cloud platforms like AWS, Google Cloud, or Azure.', 'Understanding of containerization and orchestration tools like Docker and Kubernetes.', 'Proficient understanding of version control tools, preferably Git.', 'Strong problem-solving skills and the ability to think algorithmically.', 'Excellent communication and teamwork skills.']","['Design, develop, and deploy scalable and optimized full-stack applications.', 'Collaborate with cross-functional teams, including designers, product managers, and other developers, to define feature specifications and build the next generation of Evara products.', 'Maintain high standards of software quality within the team by establishing good practices and habits.', 'Write well-documented, clean, and maintainable code in server-side components.', 'Implement robust security protocols, data protection measures, and authentication processes.', 'Lead code review sessions and mentor junior developers in the team.', 'Optimize applications for maximum speed, scalability, and responsiveness.', 'Design, develop, and maintain high-quality backend applications using Node.js.', 'Design and develop REST APIs.']",2 To 4 Years,"['Full Stack Developer', 'JavaScript', 'NET', 'NodeJS', 'Software Development', 'Stack', 'developer', 'Computer Science', 'Information Technology (IT)', 'Full Stack Development', 'Node.js', 'React', 'MongoDB', 'MySQL']"
26,.NET Full Stack Developer,Orcatechs,"Nasr City, Cairo",Full Time,Experienced (Non-Manager),"['Familiarity with the ASP.NET framework, .NET Core, SQL Server and design/architectural patterns (e.g. Model-View-Controller (MVC)).', 'Hands-on experience with Micro-service based architectures.', 'Hands-on experience with Authentication and OAuth, Web Tokens, and Identity Server.', 'Solid understanding and experience with Design Patterns, OOD, OOP, REST APIs, C#.NET, ASP.NET, .NET Core, Web API.', '4~6 years of development experience using .NET languages.', 'Solid understanding and experience with', 'Excellent knowledge of at least one of the .NET languages (e.g. C#, Visual Basic .NET) and HTML5/CSS3.', 'Excellent relational database skills with MySQL, SQL, Postgres, and strong knowledge in NoSQL.', 'Solid experience with modern Front-End Frameworks such Angular, ES5, ES6, Vue js and React js.', 'Good understanding of Agile methodologies.', 'Preferred to have experience in Banking or Fintech Sectors.', 'Strong attention to details.', 'Excellent troubleshooting and communication skills.', 'Very Good command of English both spoken and written.', 'Able to work remotely and collaborate well in a team setting.']",[],4 To 6 Years,"['.Net', 'Angular', 'ASP.Net', 'MVC', 'ASP.Net Web API', 'Software Development', '.Net Framework', '.Net Development']"
27,Full Stack (Node/React) Developer,Anyware Software,"Maadi, Cairo",Full Time,Entry Level (Junior Level / Fresh Grad),"['BS/MS degree in Computer Science, Engineering.', 'V. Good or Fluent in English.', 'Strong knowledge of modern JavaScript frameworks and libraries.', 'Real solid experience in frontend/backend development.', 'Strong Experience with HTML5, CSS3, JavaScript.', 'Excellent with Node.js (Express.js or Nest.js).', 'Strong Experience with React.js.', 'Solid understanding of Progressive Web Applications.', 'Web experience with developing responsive web design or applications.', 'Experience with web services API integration.', 'Good understanding of asynchronous requests and promises.', 'Experience with version control such as Git.', 'Experience with JS module patterns.', 'Extensive experience in design patterns and SOLID principles.', 'Google Cloud/AWS knowledge is a plus.', 'Java knowledge is a plus.']","['Anyware Software is searching for a motivated and enthusiastic Full Stack (Node/React) Developer to develop highly sophisticated mobile apps.', 'Work and share knowledge in teams alongside Fullstack and Mobile Developers to ensure all elements of web creation are consistent.', 'Report team progress with the top management.', 'Responsible for the development of a new highly-responsive, web-based user interface', 'Develop a flexible and well-structured front-end architecture, along with the APIs to support it', 'Developing new user-facing features using React.', 'Building reusable components and front-end libraries for future use']",1 To 3 Years,"['Node', 'React', 'AWS', 'Typescript']"
28,"Senior Backend full stack Developer (Node.js, MongoDB, Firebase)",NERD,"New Cairo, Cairo",Full Time,Experienced (Non-Manager),"[""Minimum of 5 years' experience in backend development with a focus on Node.js, MongoDB, Firebase, and Docker."", 'Proficient in code versioning tools, such as Git.', 'Fluency in English, with excellent communication skills.', 'Strong analytical and problem-solving skills.', 'Ability to work in a fast-paced environment and manage multiple projects with tight deadlines.', 'Passionate about writing clean, efficient, and maintainable code.', 'Experience with continuous integration and deployment (CI/CD) pipelines.', 'Bachelor’s degree in Computer Science, Engineering, or a related field is preferred.']","['Design and develop high-performance, scalable backend services using Node.js.', 'Implement, maintain, and optimize databases with MongoDB and integrate Firebase for real-time data synchronization.', 'Containerize services using Docker to streamline deployment and scaling.', 'Collaborate with frontend developers and product teams to establish objectives and design more functional, cohesive codes to enhance the user experience.', 'Lead the development process for APIs, database management, and server-side logic.', 'Ensure the implementation of security and data protection solutions.', 'Troubleshoot and debug applications.', 'Provide technical leadership and mentorship to junior developers.']",More Than 5 Years,"['MongoDB', 'Node.js', 'Firebase', 'Docker', 'backend development', 'API', 'Security', 'Data protection', 'scalability', 'server-side', 'CI/CD', 'Git', 'English']"
29,Full Stack - PHP Laravel Developer,IKEN Technology,"Maadi, Cairo",Full Time,Experienced (Non-Manager),"['2+ years hands-on experience in Back-End development and PHP programming language.', '2+ years hands-on experience in Laravel development.', 'hands-on experience on one of front-end frameworks (e.g. ReactJS, VueJS, Angular, …)', 'Familiarity with databases (e.g. MySQL, MongoDB), web servers (e.g. Apache) and UI/UX design', 'Excellent communication and teamwork skills', 'Great attention to detail', 'Organizational skills', 'An analytical mind', 'Experience developing rich, large-scale web applications.', 'Experience in writing and developing solid Restful APIs.']","['Develop, customize, maintain and monitor applications for web platforms, utilizing latest technologies.', 'Writes clean, tested, reusable code using best practice principles.', 'Proactively investigates, analyses and fixes reported defects.', ""Works to continually improve the quality of the project's codebase."", 'Improve the quality, speed and performance of the Laravel apps continuously to meet clients expectations.', 'Participate in the application analysis and in software design.', 'Documenting solutions and communicating with other team members on the way forward.']",2 To 4 Years,"['Information Technology (IT)', 'Engineering', 'Back-End', 'PHP', 'Laravel', 'Restful APIs', 'Database Design', 'Programming', 'Software', 'Full Stack', 'PHP Programming', 'Computer Science', 'Software Development', 'JavaScript', 'Angular', 'front-end', 'Vue.js']"
30,Full Stack .Net Developer,Orient Egypt,"Dokki, Giza",Full Time,Experienced (Non-Manager),[],[],4 To 5 Years,"['.Net', 'ASP.Net', 'Computer Science', 'CSS3', 'HTML5', 'Information Technology (IT)', 'JavaScript', 'MVC', 'Programming', 'React', 'Software Development', 'SQL']"
31,Full Stack Developer - MERN,Confidential Company,"Nasr City, Cairo",Full Time,Experienced (Non-Manager),"['Bachelor’s degree in Computer Science, Engineering or a related field.', 'Proficiency with fundamental front-end languages such as HTML, CSS, and JavaScript.', 'Proficiency with JavaScript frameworks such as React JS.', 'Strong experience with Node.js for server-side scripting.', 'Good experience in APIs.', 'Experience with testing and debugging code.', 'Experience with NoSQL databases, such as MongoDB or DynamoDB.', 'Experience with cloud services, particularly AWS.']","['Mentor and assign tasks and projects to team members, ensuring timely completion.', 'Develop and maintain full-stack web and mobile applications using the MERN stack.', 'Build RESTful APIs with Node.js and Express to support web and mobile applications.', 'Write well-designed, testable and efficient code for scalable full-stack applications.', 'Work on bug fixing and improving application performance.', 'Develop front-end interfaces with React to consume REST APIs.', 'Perform debugging and documenting code to ensure quality and stability.', 'Connect to NoSQL databases to store, manipulate and retrieve data.', 'Maintaining a cloud infrastructure AWS.', 'Stay up-to-date of new developments, and best practices in web development.']",More Than 2 Years,"['Computer Science', 'AWS', 'HTML', 'JavaScript', 'React', 'CSS', 'Node.js', 'RESTful APIs', 'Testing', 'NoSQL', 'Engineering', 'MongoDB', 'Software Development']"
32,"Full Stack Developer (.Net, Angular)",Pro Dev Tech,"Cairo, Egypt",Full Time,Experienced (Non-Manager),"['Proficient in programming using C#, SQL Server, and EF.', 'Proficient in web technologies including Asp.net Core, Web API JSON, XML, HTML, CSS, JavaScript, Bootstrap, jQuery, Angular, and React.', 'Proficient in .Net Core, in Entity Framework Core.', 'Strong understanding of object-oriented programming', 'Experience in Microservices Message Queue is a plus.', 'Skill for writing reusable libraries', 'Familiar with various design and architectural patterns', 'Understanding of fundamental design principles for building a scalable application', 'Experience creating database schemas that represent and support business processes', 'Experience in implementing automated testing platforms and unit tests', 'Proficient understanding of code versioning tools such as Git, Azure DevOps']","['Participating in the entire software development life cycle, debugging applications, and configuring existing systems.', 'Writing clean, testable code using .NET programming languages', 'Review and refactor code', 'Cooperating with product managers to develop tools requirements', 'Be responsible for problem analyzing and solving product technical-related issues, providing technical support.']",2 To 4 Years,"['Angular', '.Net', 'CSS', 'SQL', 'Information Technology (IT)', 'Computer Science', 'Git', 'HTML', 'JavaScript', 'jQuery', 'React', 'Software Development']"
33,PHP Full Stack Developer / Laravel,VadeCom,"Haram, Giza",Full Time,Experienced (Non-Manager),"[""Bachelor's degree in Computer Engineering, Computer Science, or any related subject."", 'They are preferred to have more than 3 years of experience in PHP.', 'Must experience with MVC frameworks, preferably “Laravel.”', 'Must have experience using commercial and social APIs and SDKs.', 'Strong working experience with Object-Oriented Programming and template systems.', 'Excellent problem-solving and analytical skills', 'Ability to work independently and as part of a team', 'Proficient in version control systems such as Git', 'Good understanding of security issues and accessibility issues.', 'Must be at least very good in the English language “Read & Write.”', 'Work Model: Hybrid Model (both from the office and home)', 'Candidates should be from around Haram, Giza,']","['Develop, customize, maintain, and monitor applications for web platforms utilizing the latest technologies.', 'Writes clean, tested, reusable code using best practice principles.', 'Proactively investigates, analyses, and fixes reported defects.', ""Works to improve the quality of the project's codebase continually."", ""Improve the quality, speed, and performance of the Laravel apps continuously to meet client's expectations."", 'Participate in the application analysis and']",2 To 5 Years,"['PHP', 'HTML', 'CSS', 'Bootstrap', 'JavaScript', 'MVC', 'Information Technology (IT)', 'jQuery', 'AJAX', 'Linux', 'OOP', 'UML', 'Laravel', 'Word Press', 'Engineering', 'Computer Science', 'SEO', 'Software Development', 'Open Cart', 'Joomla', 'Plugins', 'Computer Engineering', 'Telecommunication']"
34,Full Stack Developer,Khales,"Giza, Egypt",Full Time,Experienced (Non-Manager),"['BSc degree in Computer Science or relevant field', 'Proven work experience as a Full Stack developer 2 – 4 Years', 'AdobeXD, Angular – (Nice to have entry level)', 'JAVA SE, JAVA EE & SPRING', 'C, C++', 'KOTLIN, FLUTTER, Android Dev. SDK, NDK & NFC', 'Excellent analytical and time management skills', 'Teamwork skills with a problem-solving attitude']","['Participate in the entire application lifecycle, focusing on coding and debugging', 'Write clean code to develop functional web applications', 'Troubleshoot and debug applications', 'Proven experience as a Full Stack Developer or similar role', 'Familiarity with common stacks', 'Perform UI tests to optimize performance', 'Manage cutting-edge technologies to improve legacy applications', 'Collaborate with Front-end developers to integrate user-facing elements with server side logic', 'Gather and address technical and design requirements', 'Provide training and support to internal teams and external ones', 'Build reusable code and libraries for future use', 'Responsible for troubleshooting and issue analysis.', 'Responsible on coding, testing and implementing software enhancements.', 'Excellent communication and teamwork skills', 'Great attention to detail', 'Organizational skills', 'An analytical mind']",2 To 4 Years,"['AdobeXD', 'Angular', 'Java SE', 'Java EE', 'Spring', 'C,', 'C++', 'Kotlin', 'flutter', 'Android', 'SDK', 'NDK', 'NFC']"
35,Senior Full Stack Web & Mobile Developer,Al Arab Group,"Cairo, Egypt",Full Time,Experienced (Non-Manager),"['Bachelor’s degree in Computer Science, Information Technology, or a related field.\n ', 'Proven experience as a Senior Web and Mobile Programmer with a minimum of 5 years in web and mobile application development.', 'Extensive experience with Laravel and PHP.', 'Strong background in database design and management.']","['Develop and maintain both front-end and back-end components of web and mobile applications.', 'Implement user interfaces for maximum usability and efficiency.', 'Design, implement, and manage databases to ensure optimal performance and data integrity.', 'Create and optimize complex SQL queries for efficient data retrieval and manipulation.', 'Technology Stack:', 'Utilize expertise in Laravel, PHP, and other relevant technologies to build robust and scalable applications.', 'Stay updated on industry trends and emerging technologies, recommending adoption as appropriate.', 'Enforce coding standards and best practices to ensure high-quality, maintainable code.', 'Conduct thorough testing, including unit testing, integration testing, and performance testing.', 'Collaborate with cross-functional teams, including designers and product managers, to understand project requirements and deliver solutions.', 'Identify and address technical issues promptly, conducting root cause analysis and implementing solutions.']",More Than 5 Years,"['Computer Science', 'Database', 'Information Technology (IT)', 'PHP', 'Laravel', 'JavaScript', 'Software Development', 'Database Design', 'Mobile', 'Web', 'Development']"
36,Full Stack Engineer (Midlevel),Noases,"Nasr City, Cairo",Full Time,Experienced (Non-Manager),"['4  years of development experience as a full stack', 'Strong knowledge of object-oriented design and solid principles', 'Strong work experience with ASP.NET MVC, C#, ASP.NET Core, LINQ, and the Entity Framework.', 'Strong work experience with MS SQL Server', 'Strong knowledge of HTML, CSS, Bootstrap, JavaScript, jQuery, and Ajax', 'Knowledge of Angular 6+ and Typescript is a plus.', 'Knowledge of applying design patterns.', 'Knowledge of building Rest web services and APIs.', 'Familiarity with agile environments (Scrum).', 'Familiar with Code Source management tools like Git and TFS.', 'ITI graduate is a PLUS.', 'Knowledge of GIT or any other Version Control System.', 'Strong critical thinking and problem-solving skills.', 'Strong Communication and Interpersonal skills']","['Analyze system requirements and prioritize tasks.', 'Write clean, testable code using.NET programming languages.', 'Develop technical specifications and architecture.', 'Deploy fully functional applications.', 'Support junior developers.', 'Deploying functional websites, programs, and applications.', 'Document development and operational procedures.', 'adapting interfaces for modern internet applications using the latest front-end technologies and practices.', 'Collaborate with the team on software design and development.', 'Develop front-end applications using Angular and other frameworks.', 'Debug, deploy, and maintain applications.', 'developing technical specifications.', 'Drafting software and application operating procedures.']",3 To 5 Years,"['Angular', '.Net', 'Computer Science', 'Git', 'CSS', 'HTML', 'Information Technology (IT)', 'JavaScript', 'jQuery', 'MVC', 'Software Development', 'SQL']"
37,Full Stack .Net Developer,Ether Technology,"Mohandessin, Giza",Full Time,Experienced (Non-Manager),"[""Bachelor's degree in Computer Science or related field"", 'At least 2 years of experience in developing web applications using .NET  technologies', 'Experience with Javascript and JQuery', 'Experience with Microsoft SQL Server', 'Knowledge of web development best practices, including responsive design and cross-browser compatibility', 'Experience with Git, Azure DevOps, or similar version control systems', 'Excellent problem-solving and analytical skills', 'Strong communication and interpersonal skills', 'Familiarity with Angular is a plus']","['Design, develop, and maintain web applications using .NET technologies', 'Develop and maintain Angular applications', 'Collaborate with cross-functional teams to identify and prioritize features', 'Write high-quality, testable, and efficient code', 'Troubleshoot and debug issues in existing applications', 'Develop and maintain Microsoft SQL Server databases', 'Keep up-to-date with emerging trends and technologies', 'Competitive salary package', 'Medical insurance coverage', 'Social insurance coverage', 'Opportunities for professional development and continued learning', 'Flexible work hours', 'Collaborative and inclusive work environment\n ']",2 To 4 Years,"['.Net', '.Net Core', 'ASP.Net Web API', 'ASP.net MVC', 'JavaScript', 'jQuery', 'Angular', 'SQL Server', 'Enity Framework', 'Dapper', 'AJAX']"
38,Senior Full Stack Developer,Robiquity,"New Cairo, Cairo",Full Time,Experienced (Non-Manager),"['From 3 to 5 years of experience, demonstrate expertise in Python, .NET Framework, JavaScript, Bootstrap, HTML, CSS, SQL and Rest APIs', 'Python Flask experience is a Plus. ', 'Proven experience as a full stack developer or similar role in a commercial/business environment.', 'Solid experience working within an Agile development environment.', 'Competency in using Azure DevOps or similar project management tools.', 'Strong understanding of front-end and back-end web development best practices.', 'Excellent problem-solving skills and attention to detail.']",[],3 To 5 Years,"['Computer Science', 'Python', 'JavaScript', 'Software Development', 'CSS', 'Full Stack', 'SQL', 'Web Development']"
39,Junior Full Stack .Net Developer,Aliaict,"Nasr City, Cairo",Full Time,Experienced (Non-Manager),"['Proven experience as full stack developer with 2+ years.', 'Problem-solving skills.', 'Asp.Net 4.5+ & C#.', 'Asp.Net Core.', 'Angular TS 9+.', 'Entity Framework & ADO.', 'SOLID Principles.', 'Design pattern.', 'Database Concepts (SQL or Oracle).', 'HTML , CSS & bootstrap', 'JavaScript & JQuery,.', 'Web API & Restful.']","['Receive tasks from leader and senior.', 'Implement requirements with high quality.', 'Apply code standards and architecture.', 'Work with source control TFS.', 'Work with the process set and be committed to its framework.', 'Perform unit testing for his code.', 'Write effective APIs.', 'Create security and data protection settings', 'Build features and applications with a mobile responsive design']",More Than 2 Years,"['.Net', 'Angular', 'ASP.Net', 'Computer Science', 'CSS', 'Full Stack', 'HTML', 'Information Technology (IT)', 'Software Development', 'ITI', 'SQL', 'jQuery', 'JavaScript']"
40,Senior Full-Stack Mobile Developer,Confidential Company,"Cairo, Egypt",Full Time,Experienced (Non-Manager),[],[],3 To 20 Years,"['application', 'application Developer', 'developer', 'Software Development', 'Software Engineering', 'Front-End Development']"
41,Senior Full Stack Developer (.Net & Angular 14+),Link Datacenter,"Maadi, Cairo",Full Time,Experienced (Non-Manager),"['Sc. in Computer Science or equivalent.', '3+ years of relevant experience.', 'Deep understanding of REST APIs.', 'Solid experience in Angular 14+. Instead, a solid experience in one of the following (ReactJs, VueJS)', 'Solid Knowledge in OOP and OOD.', 'Solid understanding of Database Design and ORM principles.', 'Experience with ES6+.', 'Experience with HTML, CSS3.', 'Strong experience with Git.', 'Prior experience of working in an agile environment.', 'Having skills in Sizing and estimating assigned tasks.', 'Good command English in writing is a must. \n ', 'Nice to have \n\nExperience with state management (Redux / NGRX).', 'Experience with MySQL.', 'Experience with MongoDb.', 'Experience with microservices architecture and DDD.', 'Experience with CQRS design pattern.', 'Experience with message brokers (RabbitMQ, Kafka, Azure Service Bus)', 'Experience with Redis.', 'Good understanding of Azure Development.', 'Good experience with Docker.', 'Good understanding of Security and Data Protection fundamentals.']","['Perform development tasks (backend & frontend) within an agile environment (Scrum and Kanban). ', 'Handle existing software problems and carry out requested changes in a timely manner. ', 'Participate in team meetings and brainstorming sessions to contribute ideas for our products. ', 'Learn new technologies and work with diverse technologies and languages. ', 'Write technical documentations for software components and features. ']",3 To 5 Years,"['Agile', 'Angular', 'Computer Science', 'CSS3', 'Git', 'HTML', 'Information Technology (IT)', 'JavaScript', 'MongoDB', 'MySQL', 'REST', 'Software Development']"
42,Full Stack Wordpress Developer,TIQNIA,"Dokki, Giza",Full Time,Experienced (Non-Manager),"['Bachelor’s degree in computer science or a similar field.', 'Very good English', 'Problem solving skills ', 'Proven work experience as a WordPress developer ( not desiger ) .', 'Experienced with PHP DEVELOPMENT ', 'Knowledge of front-end technologies including CSS3, JavaScript, HTML5, and jQuery.', 'Experience working with debugging tools such as Chrome Inspector and Firebug.', 'Good understanding of website architecture and aesthetics.', 'Ability to manage projects.', 'Good communication skills.']","['Ability of coding wordpress plugins and themes', 'Ability to edit and upgrade wordpress plugins and themes functional ', 'Meeting with clients to discuss website design and functionality ', 'Designing and managing the website back-end including database and server integration.', 'Generating WordPress themes and plugins.', 'Conducting website performance tests.', 'Troubleshooting content issues.', 'Conducting WordPress training with the client.', 'Monitoring the performance of the live website.']",3 To 10 Years,"['PHP', 'Software Development', 'WordPress', 'developer', 'jQuery', 'Development', 'Information Technology (IT)']"
43,Full Stack Wordpress Developer,ElMotaheda Web,"Nasr City, Cairo",Full Time,Experienced (Non-Manager),"['Bachelor’s degree in computer science or a similar field.', 'Proven work experience as a WordPress developer.', 'Knowledge of front-end technologies including CSS3, JavaScript, HTML5, and jQuery.', 'Knowledge of code versioning tools including Git, Mercurial, and SVN.', 'Experience working with debugging tools such as Chrome Inspector and Firebug.', 'Good understanding of website architecture and aesthetics.', 'Ability to manage projects.', 'Good communication skills.']","['Meeting with clients to discuss website design and function.', 'Designing and building the website front-end.', 'Creating the website architecture.', 'Designing and managing the website back-end including database and server integration.', 'Generating WordPress themes and plugins.', 'Conducting website performance tests.', 'Troubleshooting content issues.', 'Conducting WordPress training with the client.', 'Monitoring the performance of the live website.']",More Than 2 Years,"['Computer Science', 'developer', 'CSS3', 'front-end', 'HTML5', 'Git', 'Information Technology (IT)', 'JavaScript', 'Software Development', 'jQuery', 'svn', 'WordPress']"
44,Senior Full Stack Developer,Giza Systems,"Cairo, Egypt",Full Time,Experienced (Non-Manager),"['Proven experience as a Full Stack Developer or similar role', 'Experience developing desktop and mobile applications', 'Familiarity with common stacks', 'Knowledge of multiple front-end languages and libraries (React)', 'Knowledge of multiple back-end languages (NodeJs)', 'Familiarity with databases (e.g. MySQL, MongoDB), web servers (e.g. Apache) and UI/UX design', 'Excellent communication and teamwork skills', 'Great attention to detail', 'Organizational skills', 'An analytical mind', 'Degree in Computer Science, Statistics or relevant field']","['Work with development teams and product managers to ideate software solutions', 'Design client-side and server-side architecture', 'front-end   (React)', 'Backend (NodeJS)', 'Develop and manage well-functioning databases and applications', 'Write effective APIs', 'Test software to ensure responsiveness and efficiency', 'Troubleshoot, debug and upgrade software', 'Create security and data protection settings', 'Build features and applications with a mobile responsive design', 'Write technical documentation', 'Work with data scientists and analysts to improve software']",3 To 5 Years,"['front-end', 'Full Stack', 'NodeJS', 'React']"
